state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,payment_amount,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_gap_score,access_risk
ACT,19 to 24,ABI,Unknown,8,0,50,18.0,0.0,0.4444444444444444,50,0.0,0.5147495755517827,Medium Risk
ACT,19 to 24,Autism,Unknown,8,0,50,266.0,0.0,0.03007518796992481,50,0.0,0.30884974533106957,Low Risk
ACT,19 to 24,Cerebral Palsy,Unknown,8,0,50,44.0,0.0,0.18181818181818182,50,0.0,0.4396859083191851,Medium Risk
ACT,19 to 24,Down Syndrome,Unknown,8,0,50,38.0,0.0,0.21052631578947367,50,0.0,0.4517190152801358,Medium Risk
ACT,19 to 24,DsbltyGrp_Missing,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,19 to 24,Hearing Impairment,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,19 to 24,Intellectual Disability,Unknown,8,0,50,168.0,0.0,0.047619047619047616,50,0.0,0.3334889643463497,Low Risk
ACT,19 to 24,Multiple Sclerosis,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,19 to 24,Other,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,19 to 24,Other Neurological,Unknown,8,0,50,16.0,0.0,0.5,50,0.0,0.5223896434634975,Medium Risk
ACT,19 to 24,Other Physical,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,19 to 24,Other Sensory/Speech,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,19 to 24,Psychosocial disability,Unknown,6,0,50,28.0,0.0,0.21428571428571427,50,0.0,0.4530560271646859,Medium Risk
ACT,19 to 24,Spinal Cord Injury,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,19 to 24,Stroke,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,19 to 24,Visual Impairment,Unknown,8,0,50,22.0,0.0,0.36363636363636365,50,0.0,0.4969864176570459,Medium Risk
ACT,25 to 34,ABI,Unknown,8,0,50,60.0,0.0,0.13333333333333333,50,0.0,0.40931663837011883,Low Risk
ACT,25 to 34,Autism,Unknown,8,0,50,276.0,0.0,0.028985507246376812,50,0.0,0.3061757215619694,Low Risk
ACT,25 to 34,Cerebral Palsy,Unknown,8,0,50,96.0,0.0,0.08333333333333333,50,0.0,0.3728353140916808,Low Risk
ACT,25 to 34,Down Syndrome,Unknown,8,0,50,100.0,0.0,0.08,50,0.0,0.3703522920203735,Low Risk
ACT,25 to 34,Hearing Impairment,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,25 to 34,Intellectual Disability,Unknown,8,0,50,260.0,0.0,0.03076923076923077,50,0.0,0.31037775891341257,Low Risk
ACT,25 to 34,Multiple Sclerosis,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,25 to 34,Other,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,25 to 34,Other Neurological,Unknown,8,0,50,16.0,0.0,0.5,50,0.0,0.5223896434634975,Medium Risk
ACT,25 to 34,Other Physical,Unknown,8,0,50,28.0,0.0,0.2857142857142857,50,0.0,0.4773132427843803,Medium Risk
ACT,25 to 34,Other Sensory/Speech,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,25 to 34,Psychosocial disability,Unknown,8,0,50,196.0,0.0,0.04081632653061224,50,0.0,0.3245118845500849,Low Risk
ACT,25 to 34,Spinal Cord Injury,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,25 to 34,Stroke,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,25 to 34,Visual Impairment,Unknown,8,0,50,8.0,0.0,1.0,50,0.0,0.5749151103565365,Medium Risk
ACT,35 to 44,ABI,Unknown,8,0,50,114.0,0.0,0.07017543859649122,50,0.0,0.35851018675721563,Low Risk
ACT,35 to 44,Autism,Unknown,8,0,50,154.0,0.0,0.05194805194805195,50,0.0,0.34017402376910016,Low Risk
ACT,35 to 44,Cerebral Palsy,Unknown,8,0,50,72.0,0.0,0.1111111111111111,50,0.0,0.395946519524618,Low Risk
ACT,35 to 44,Down Syndrome,Unknown,8,0,50,66.0,0.0,0.12121212121212122,50,0.0,0.40377758913412565,Low Risk
ACT,35 to 44,DsbltyGrp_Missing,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,35 to 44,Hearing Impairment,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,35 to 44,Intellectual Disability,Unknown,8,0,50,270.0,0.0,0.02962962962962963,50,0.0,0.3078947368421052,Low Risk
ACT,35 to 44,Multiple Sclerosis,Unknown,8,0,50,24.0,0.0,0.3333333333333333,50,0.0,0.48877334465195243,Medium Risk
ACT,35 to 44,Other,Unknown,8,0,50,8.0,0.0,1.0,50,0.0,0.5749151103565365,Medium Risk
ACT,35 to 44,Other Neurological,Unknown,8,0,50,22.0,0.0,0.36363636363636365,50,0.0,0.4969864176570459,Medium Risk
ACT,35 to 44,Other Physical,Unknown,8,0,50,34.0,0.0,0.23529411764705882,50,0.0,0.4597410865874363,Medium Risk
ACT,35 to 44,Other Sensory/Speech,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,35 to 44,Psychosocial disability,Unknown,8,0,50,270.0,0.0,0.02962962962962963,50,0.0,0.3078947368421052,Low Risk
ACT,35 to 44,Spinal Cord Injury,Unknown,8,0,50,20.0,0.0,0.4,50,0.0,0.5067275042444821,Medium Risk
ACT,35 to 44,Stroke,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,35 to 44,Visual Impairment,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,45 to 54,ABI,Unknown,8,0,50,110.0,0.0,0.07272727272727272,50,0.0,0.36233022071307297,Low Risk
ACT,45 to 54,Autism,Unknown,8,0,50,178.0,0.0,0.0449438202247191,50,0.0,0.3306239388794567,Low Risk
ACT,45 to 54,Cerebral Palsy,Unknown,8,0,50,82.0,0.0,0.0975609756097561,50,0.0,0.3854414261460102,Low Risk
ACT,45 to 54,Down Syndrome,Unknown,8,0,50,108.0,0.0,0.07407407407407407,50,0.0,0.36443123938879457,Low Risk
ACT,45 to 54,Hearing Impairment,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,45 to 54,Intellectual Disability,Unknown,8,0,50,344.0,0.0,0.023255813953488372,50,0.0,0.2962436332767402,Low Risk
ACT,45 to 54,Multiple Sclerosis,Unknown,8,0,50,40.0,0.0,0.2,50,0.0,0.44656196943972837,Medium Risk
ACT,45 to 54,Other,Unknown,8,0,50,34.0,0.0,0.23529411764705882,50,0.0,0.4597410865874363,Medium Risk
ACT,45 to 54,Other Neurological,Unknown,8,0,50,70.0,0.0,0.11428571428571428,50,0.0,0.3978565365025467,Low Risk
ACT,45 to 54,Other Physical,Unknown,8,0,50,44.0,0.0,0.18181818181818182,50,0.0,0.4396859083191851,Medium Risk
ACT,45 to 54,Other Sensory/Speech,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
ACT,45 to 54,Psychosocial disability,Unknown,8,0,50,318.0,0.0,0.025157232704402517,50,0.0,0.3000636672325976,Low Risk
ACT,45 to 54,Spinal Cord Injury,Unknown,8,0,50,20.0,0.0,0.4,50,0.0,0.5067275042444821,Medium Risk
ACT,45 to 54,Stroke,Unknown,8,0,50,80.0,0.0,0.1,50,0.0,0.3888794567062818,Low Risk
ACT,45 to 54,Visual Impairment,Unknown,8,0,50,34.0,0.0,0.23529411764705882,50,0.0,0.4597410865874363,Medium Risk
ACT,55 to 64,ABI,Unknown,8,0,50,152.0,0.0,0.05263157894736842,50,0.0,0.3411290322580645,Low Risk
ACT,55 to 64,Autism,Unknown,8,0,50,130.0,0.0,0.06153846153846154,50,0.0,0.3531621392190153,Low Risk
