RprtDt,StateCd,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SILorSDA,suppclass,Utlstn
31DEC2025,SA,Southern Adelaide,ALL,9 to 14,ALL,Core,70%
31DEC2025,SA,Southern Adelaide,ALL,9 to 14,No,ALL,67%
31DEC2025,SA,Southern Adelaide,ALL,9 to 14,No,Capacity Building,66%
31DEC2025,SA,Southern Adelaide,ALL,9 to 14,No,Capital,47%
31DEC2025,SA,Southern Adelaide,ALL,9 to 14,No,Core,70%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,ALL,ALL,67%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,ALL,Capacity Building,65%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,ALL,Capital,39%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,ALL,Core,71%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,No,ALL,67%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,No,Capacity Building,65%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,No,Capital,39%
31DEC2025,SA,Southern Adelaide,Autism,9 to 14,No,Core,71%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,ALL,ALL,69%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,ALL,Capacity Building,63%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,ALL,Capital,31%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,ALL,Core,81%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,No,ALL,69%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,No,Capacity Building,63%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,No,Capital,31%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,9 to 14,No,Core,81%
31DEC2025,SA,Southern Adelaide,Down Syndrome,9 to 14,ALL,ALL,83%
31DEC2025,SA,Southern Adelaide,Down Syndrome,9 to 14,ALL,Capacity Building,80%
31DEC2025,SA,Southern Adelaide,Down Syndrome,9 to 14,ALL,Core,87%
31DEC2025,SA,Southern Adelaide,Down Syndrome,9 to 14,No,ALL,83%
31DEC2025,SA,Southern Adelaide,Down Syndrome,9 to 14,No,Capacity Building,80%
31DEC2025,SA,Southern Adelaide,Down Syndrome,9 to 14,No,Core,87%
31DEC2025,SA,Southern Adelaide,Global developmental delay,9 to 14,ALL,ALL,66%
31DEC2025,SA,Southern Adelaide,Global developmental delay,9 to 14,ALL,Capacity Building,68%
31DEC2025,SA,Southern Adelaide,Global developmental delay,9 to 14,ALL,Core,53%
31DEC2025,SA,Southern Adelaide,Global developmental delay,9 to 14,No,ALL,66%
31DEC2025,SA,Southern Adelaide,Global developmental delay,9 to 14,No,Capacity Building,68%
31DEC2025,SA,Southern Adelaide,Global developmental delay,9 to 14,No,Core,53%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,9 to 14,ALL,ALL,57%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,9 to 14,ALL,Capacity Building,55%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,9 to 14,ALL,Core,70%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,9 to 14,No,ALL,57%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,9 to 14,No,Capacity Building,55%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,9 to 14,No,Core,70%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,ALL,ALL,74%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,ALL,Capacity Building,74%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,ALL,Capital,68%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,ALL,Core,74%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,No,ALL,74%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,No,Capacity Building,74%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,No,Capital,68%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,9 to 14,No,Core,74%
31DEC2025,SA,Southern Adelaide,Other,9 to 14,ALL,ALL,52%
31DEC2025,SA,Southern Adelaide,Other,9 to 14,ALL,Capacity Building,80%
31DEC2025,SA,Southern Adelaide,Other,9 to 14,ALL,Core,30%
31DEC2025,SA,Southern Adelaide,Other,9 to 14,No,ALL,52%
31DEC2025,SA,Southern Adelaide,Other,9 to 14,No,Capacity Building,80%
31DEC2025,SA,Southern Adelaide,Other,9 to 14,No,Core,30%
31DEC2025,SA,Southern Adelaide,Other Neurological,9 to 14,ALL,ALL,53%
31DEC2025,SA,Southern Adelaide,Other Neurological,9 to 14,ALL,Capacity Building,67%
31DEC2025,SA,Southern Adelaide,Other Neurological,9 to 14,ALL,Core,41%
31DEC2025,SA,Southern Adelaide,Other Neurological,9 to 14,No,ALL,53%
31DEC2025,SA,Southern Adelaide,Other Neurological,9 to 14,No,Capacity Building,67%
31DEC2025,SA,Southern Adelaide,Other Neurological,9 to 14,No,Core,41%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,ALL,ALL,57%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,ALL,Capacity Building,71%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,ALL,Capital,77%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,ALL,Core,42%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,No,ALL,57%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,No,Capacity Building,71%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,No,Capital,77%
31DEC2025,SA,Southern Adelaide,Other Physical,9 to 14,No,Core,42%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,9 to 14,ALL,ALL,59%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,9 to 14,ALL,Capacity Building,53%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,9 to 14,ALL,Core,100%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,9 to 14,No,ALL,59%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,9 to 14,No,Capacity Building,53%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,9 to 14,No,Core,100%
31DEC2025,SA,Southern Adelaide,ABI,ALL,ALL,ALL,76%
31DEC2025,SA,Southern Adelaide,ABI,ALL,ALL,Capacity Building,68%
31DEC2025,SA,Southern Adelaide,ABI,ALL,ALL,Capital,59%
31DEC2025,SA,Southern Adelaide,ABI,ALL,ALL,Core,78%
31DEC2025,SA,Southern Adelaide,ABI,ALL,No,ALL,69%
31DEC2025,SA,Southern Adelaide,ABI,ALL,No,Capacity Building,65%
31DEC2025,SA,Southern Adelaide,ABI,ALL,No,Capital,59%
31DEC2025,SA,Southern Adelaide,ABI,ALL,No,Core,71%
31DEC2025,SA,Southern Adelaide,ABI,ALL,Yes,ALL,86%
31DEC2025,SA,Southern Adelaide,ABI,ALL,Yes,Capacity Building,77%
31DEC2025,SA,Southern Adelaide,ABI,ALL,Yes,Capital,60%
31DEC2025,SA,Southern Adelaide,ABI,ALL,Yes,Core,88%
31DEC2025,SA,Southern Adelaide,ALL,ALL,ALL,ALL,75%
31DEC2025,SA,Southern Adelaide,ALL,ALL,ALL,Capacity Building,63%
31DEC2025,SA,Southern Adelaide,ALL,ALL,ALL,Capital,68%
31DEC2025,SA,Southern Adelaide,ALL,ALL,ALL,Core,79%
31DEC2025,SA,Southern Adelaide,ALL,ALL,No,ALL,68%
31DEC2025,SA,Southern Adelaide,ALL,ALL,No,Capacity Building,62%
31DEC2025,SA,Southern Adelaide,ALL,ALL,No,Capital,64%
31DEC2025,SA,Southern Adelaide,ALL,ALL,No,Core,71%
31DEC2025,SA,Southern Adelaide,ALL,ALL,Yes,ALL,89%
31DEC2025,SA,Southern Adelaide,ALL,ALL,Yes,Capacity Building,73%
31DEC2025,SA,Southern Adelaide,ALL,ALL,Yes,Capital,74%
31DEC2025,SA,Southern Adelaide,ALL,ALL,Yes,Core,91%
31DEC2025,SA,Southern Adelaide,Autism,ALL,ALL,ALL,69%
31DEC2025,SA,Southern Adelaide,Autism,ALL,ALL,Capacity Building,60%
31DEC2025,SA,Southern Adelaide,Autism,ALL,ALL,Capital,66%
31DEC2025,SA,Southern Adelaide,Autism,ALL,ALL,Core,76%
31DEC2025,SA,Southern Adelaide,Autism,ALL,No,ALL,65%
31DEC2025,SA,Southern Adelaide,Autism,ALL,No,Capacity Building,59%
31DEC2025,SA,Southern Adelaide,Autism,ALL,No,Capital,41%
31DEC2025,SA,Southern Adelaide,Autism,ALL,No,Core,70%
31DEC2025,SA,Southern Adelaide,Autism,ALL,Yes,ALL,89%
31DEC2025,SA,Southern Adelaide,Autism,ALL,Yes,Capacity Building,73%
31DEC2025,SA,Southern Adelaide,Autism,ALL,Yes,Capital,81%
31DEC2025,SA,Southern Adelaide,Autism,ALL,Yes,Core,90%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,ALL,ALL,80%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,ALL,Capacity Building,68%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,ALL,Capital,67%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,ALL,Core,84%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,No,ALL,70%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,No,Capacity Building,67%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,No,Capital,55%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,No,Core,73%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,Yes,ALL,91%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,Yes,Capacity Building,71%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,Yes,Capital,86%
31DEC2025,SA,Southern Adelaide,Cerebral Palsy,ALL,Yes,Core,93%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,ALL,ALL,65%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,ALL,Capacity Building,67%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,ALL,Capital,30%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,ALL,Core,46%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,No,ALL,65%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,No,Capacity Building,67%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,No,Capital,30%
31DEC2025,SA,Southern Adelaide,Developmental delay,ALL,No,Core,46%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,ALL,ALL,83%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,ALL,Capacity Building,75%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,ALL,Capital,65%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,ALL,Core,85%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,No,ALL,72%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,No,Capacity Building,72%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,No,Capital,68%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,No,Core,72%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,Yes,ALL,89%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,Yes,Capacity Building,77%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,Yes,Capital,65%
31DEC2025,SA,Southern Adelaide,Down Syndrome,ALL,Yes,Core,91%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,ALL,ALL,70%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,ALL,Capacity Building,72%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,ALL,Capital,65%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,ALL,Core,62%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,No,ALL,70%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,No,Capacity Building,72%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,No,Capital,65%
31DEC2025,SA,Southern Adelaide,Global developmental delay,ALL,No,Core,62%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,ALL,ALL,55%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,ALL,Capacity Building,56%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,ALL,Capital,22%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,ALL,Core,55%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,No,ALL,55%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,No,Capacity Building,56%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,No,Capital,22%
31DEC2025,SA,Southern Adelaide,Hearing Impairment,ALL,No,Core,55%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,ALL,ALL,83%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,ALL,Capacity Building,66%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,ALL,Capital,64%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,ALL,Core,86%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,No,ALL,74%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,No,Capacity Building,64%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,No,Capital,60%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,No,Core,77%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,Yes,ALL,91%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,Yes,Capacity Building,71%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,Yes,Capital,65%
31DEC2025,SA,Southern Adelaide,Intellectual Disability,ALL,Yes,Core,93%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,ALL,ALL,74%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,ALL,Capacity Building,65%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,ALL,Capital,83%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,ALL,Core,74%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,No,ALL,69%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,No,Capacity Building,64%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,No,Capital,80%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,No,Core,69%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,Yes,ALL,89%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,Yes,Capacity Building,78%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,Yes,Capital,92%
31DEC2025,SA,Southern Adelaide,Multiple Sclerosis,ALL,Yes,Core,89%
31DEC2025,SA,Southern Adelaide,Other,ALL,ALL,ALL,70%
31DEC2025,SA,Southern Adelaide,Other,ALL,ALL,Capacity Building,65%
31DEC2025,SA,Southern Adelaide,Other,ALL,ALL,Capital,66%
31DEC2025,SA,Southern Adelaide,Other,ALL,ALL,Core,71%
31DEC2025,SA,Southern Adelaide,Other,ALL,No,ALL,64%
31DEC2025,SA,Southern Adelaide,Other,ALL,No,Capacity Building,64%
31DEC2025,SA,Southern Adelaide,Other,ALL,No,Capital,58%
31DEC2025,SA,Southern Adelaide,Other,ALL,No,Core,64%
31DEC2025,SA,Southern Adelaide,Other,ALL,Yes,ALL,85%
31DEC2025,SA,Southern Adelaide,Other,ALL,Yes,Capacity Building,71%
31DEC2025,SA,Southern Adelaide,Other,ALL,Yes,Core,86%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,ALL,ALL,73%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,ALL,Capacity Building,63%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,ALL,Capital,73%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,ALL,Core,74%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,No,ALL,64%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,No,Capacity Building,61%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,No,Capital,72%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,No,Core,64%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,Yes,ALL,90%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,Yes,Capacity Building,71%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,Yes,Capital,78%
31DEC2025,SA,Southern Adelaide,Other Neurological,ALL,Yes,Core,92%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,ALL,ALL,68%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,ALL,Capacity Building,61%
